school_id,examinee_id,first_name,last_name,examinee_name,ms_year
979166,979166_E00001,Faisal,Blackmore,Faisal Blackmore,MS4
979166,979166_E00002,Ivan,Aguilar,Ivan Aguilar,MS3
979166,979166_E00003,Ghaaliya,al-Samad,Ghaaliya al-Samad,MS1
979166,979166_E00004,Abdur Raqeeb,Smith,Abdur Raqeeb Smith,MS4
979166,979166_E00005,Rafeeda,Gephart,Rafeeda Gephart,MS1
979166,979166_E00006,Yuliya,el-Sadiq,Yuliya el-Sadiq,MS4
979166,979166_E00007,Raheema,Lopez,Raheema Lopez,MS1
979166,979166_E00008,Ricardo,Arthurs,Ricardo Arthurs,MS1
979166,979166_E00009,Cody,el-Shaheed,Cody el-Shaheed,MS3
979166,979166_E00010,Cassandra,Dudley,Cassandra Dudley,MS1
979166,979166_E00011,Ariyya,Rice,Ariyya Rice,MS3
979166,979166_E00012,Gogi,Long,Gogi Long,MS4
979166,979166_E00013,Kiet,el-Khawaja,Kiet el-Khawaja,MS4
979166,979166_E00014,Manaal,Del Hierro,Manaal Del Hierro,MS1
979166,979166_E00015,Joshua,Chawla,Joshua Chawla,MS3
979166,979166_E00016,Jennifer,Toler,Jennifer Toler,MS2
979166,979166_E00017,Kristofer,Gallegos,Kristofer Gallegos,MS3
979166,979166_E00018,Bryan,Stevens,Bryan Stevens,MS1
979166,979166_E00019,Noori,Massey,Noori Massey,MS3
979166,979166_E00020,Brandon,al-Hana,Brandon al-Hana,MS2
979166,979166_E00021,Sarah,el-Tamer,Sarah el-Tamer,MS1
979166,979166_E00022,Taurean,Mateos-Gonzalez,Taurean Mateos-Gonzalez,MS3
979166,979166_E00023,Charles,Hamil,Charles Hamil,MS1
979166,979166_E00024,William,Gaines,William Gaines,MS3
979166,979166_E00025,Jonathan,Ponce-Miramontes,Jonathan Ponce-Miramontes,MS2
979166,979166_E00026,Emily,Kitashima,Emily Kitashima,MS2
979166,979166_E00027,Waajida,el-Fadel,Waajida el-Fadel,MS3
979166,979166_E00028,Muntasir,el-Mady,Muntasir el-Mady,MS3
979166,979166_E00029,Salwa,Liles,Salwa Liles,MS3
979166,979166_E00030,Joseph,Alarid,Joseph Alarid,MS4
979166,979166_E00031,Laura,Davis,Laura Davis,MS2
979166,979166_E00032,Dameion,Hamilton,Dameion Hamilton,MS2
979166,979166_E00033,Maya,Kennah,Maya Kennah,MS1
979166,979166_E00034,Cyra,Gonzalez,Cyra Gonzalez,MS2
979166,979166_E00035,Abraham,Erives Balbuena,Abraham Erives Balbuena,MS4
979166,979166_E00036,Zachary,Ironshield,Zachary Ironshield,MS3
979166,979166_E00037,Jaasir,Revello,Jaasir Revello,MS2
979166,979166_E00038,Debril,al-Toure,Debril al-Toure,MS3
979166,979166_E00039,Elizabeth,Sandoval,Elizabeth Sandoval,MS4
979166,979166_E00040,Kaamil,Starr,Kaamil Starr,MS1
979166,979166_E00041,Maria,Richards,Maria Richards,MS3
979166,979166_E00042,Natalie,Smith,Natalie Smith,MS2
979166,979166_E00043,Nickolas,Velasquez,Nickolas Velasquez,MS4
979166,979166_E00044,Noori,Graves,Noori Graves,MS2
979166,979166_E00045,Awf,Watts,Awf Watts,MS3
979166,979166_E00046,David,al-Sharif,David al-Sharif,MS1
979166,979166_E00047,Jalen,Batts,Jalen Batts,MS2
979166,979166_E00048,Zachary,Wardell,Zachary Wardell,MS1
979166,979166_E00049,Austin,Smith,Austin Smith,MS4
979166,979166_E00050,Sulama,al-Galla,Sulama al-Galla,MS4
979166,979166_E00051,Elliott,Beilke,Elliott Beilke,MS2
979166,979166_E00052,Royal,al-Sylla,Royal al-Sylla,MS4
979166,979166_E00053,Eli,Martinez,Eli Martinez,MS2
979166,979166_E00054,Keason,Franklin,Keason Franklin,MS2
979166,979166_E00055,Andreana,Mayfield,Andreana Mayfield,MS3
979166,979166_E00056,Eliza,Sablan,Eliza Sablan,MS4
979166,979166_E00057,Sadi,Bransford,Sadi Bransford,MS2
979166,979166_E00058,Lia,Thesz,Lia Thesz,MS2
979166,979166_E00059,Derek,Fresquez,Derek Fresquez,MS4
979166,979166_E00060,Ismael,Cronenberg,Ismael Cronenberg,MS1
979166,979166_E00061,Laura,el-Daoud,Laura el-Daoud,MS3
979166,979166_E00062,Claire,Johnson,Claire Johnson,MS2
979166,979166_E00063,David,el-Taheri,David el-Taheri,MS2
979166,979166_E00064,Jose,Nickle,Jose Nickle,MS1
979166,979166_E00065,Shelby,Landrum,Shelby Landrum,MS1
979166,979166_E00066,Robert,el-Ahmed,Robert el-Ahmed,MS2
979166,979166_E00067,David,Archuleta,David Archuleta,MS3
979166,979166_E00068,John,Cloe,John Cloe,MS3
979166,979166_E00069,Sean,Gamboa,Sean Gamboa,MS2
979166,979166_E00070,Hadeel,Simms,Hadeel Simms,MS1
979166,979166_E00071,Terry,Vaz,Terry Vaz,MS1
979166,979166_E00072,Tyler,Dao,Tyler Dao,MS2
979166,979166_E00073,Michel,Lamb,Michel Lamb,MS4
979166,979166_E00074,Bryas,Vasquez,Bryas Vasquez,MS4
979166,979166_E00075,Brianna,Livingston,Brianna Livingston,MS4
979166,979166_E00076,Michelle,el-Ameen,Michelle el-Ameen,MS4
979166,979166_E00077,Abdul Kareem,al-Dada,Abdul Kareem al-Dada,MS3
979166,979166_E00078,Tiara,Rodriguez,Tiara Rodriguez,MS1
979166,979166_E00079,Lyndsi,Todd,Lyndsi Todd,MS1
979166,979166_E00080,Samantha,Turner,Samantha Turner,MS2
979166,979166_E00081,Danielle,Bunn,Danielle Bunn,MS2
979166,979166_E00082,Hibbaan,Russell,Hibbaan Russell,MS2
979166,979166_E00083,Luz,Durst,Luz Durst,MS2
979166,979166_E00084,Vanessa,Brown,Vanessa Brown,MS2
979166,979166_E00085,Fawzaana,Coffer,Fawzaana Coffer,MS4
979166,979166_E00086,Bassil,Tolliver,Bassil Tolliver,MS3
979166,979166_E00087,Tyler,Steiner,Tyler Steiner,MS4
979166,979166_E00088,Maria,Ortiz,Maria Ortiz,MS3
979166,979166_E00089,Jonathan,Myers,Jonathan Myers,MS3
979166,979166_E00090,Chi,Guyon,Chi Guyon,MS1
979166,979166_E00091,Cecilia,Zhao,Cecilia Zhao,MS4
979166,979166_E00092,Manuel,el-Ayoub,Manuel el-Ayoub,MS1
979166,979166_E00093,Kira,Narayanswamy,Kira Narayanswamy,MS1
979166,979166_E00094,Nasreen,Taylor,Nasreen Taylor,MS3
979166,979166_E00095,Martin,al-Mahdavi,Martin al-Mahdavi,MS4
